"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
4,346,RSPPRODSEL,Product Selection Amount - Response ,"The dollar amount that was collected from the member because of the product type that the member selected.  This amount was reported back to the pharmacy (response) and is included in the Member Pay Amount field (RSPPATPAY #341). 

Typically, Product Selection Amount would represent the dollar cost difference between an original brand cost and the cost of the generic form of the same chemical substance.  

Example: Prozac costs $5.03 per pill, while fluoxetine costs $2.59 per pill.  In a plan with mandatory generic, the $3 difference in the costs of the two would show in the Product Selection field, and would be the patient's responsibility to pay.  

This is also known as Member Pays the Difference (MPTD), Mandatory Generic, Generic Mandate, Differential, Dispense As Written (DAW), Dispense As Written (DAW) Override, Penalty, PSC Penalty, Ancillary Charge, and Sanction. ",,S,9,2877,2885,9,2,519-FJ,Amount Attributed To Product Selection,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient’s selection of drug product.
4,347,RSPATRTAX,Member Sales Tax Amount - Response,The final dollar amount of sales tax that was collected from the member and was reported back to the pharmacy (response).,,S,9,2886,2894,9,2,523-FN,Amount Attributed To Sales Tax,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to sales tax paid.
4,348,RSPEXCEBFT,Amount that Exceeds Benefit Maximum - Response,"The final dollar amount that exceeded the benefit plan's maximum allowable for specific services (e.g., infertility, smoking cessation) and was reported back to the pharmacy (response).  This is also known as Over Cap Amount.",,S,9,2895,2903,9,2,520-FK,Amount Exceeding Periodic Benefit Maximum,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to the patient exceeding a periodic benefit maximum.
4,349,RSPINCENTV,Incentive Fee Amount - Response,The final dollar amount of the incentive fee that was reported back to the pharmacy (response). ,,S,9,2904,2912,9,2,521-FL,Incentive Amount Paid,Amount represents the contractually agreed upon incentive fee paid for specific services rendered. Amount is included in the 'Total Amount Paid' (5Ø9-F9).
4,350,RSPATRDED,Deductible Amount - Response,The final dollar amount of the member's deductible that was collected from the member at the time the prescription was filled and was reported back to the pharmacy (response).  ,,S,9,2913,2921,9,2,517-FH,Amount Applied To Periodic Deductible,Amount to be collected from a patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is applied to a periodic deductible.
4,351,RSPTOTHAMT,Total Other Amount - Response,"Field is not currently used. 

Note:  This field always displays a zero and is not populated.  The dollar amount by the primary payer is listed in field OTHRPAYOR (#236). ",,S,9,2922,2930,9,2,565-J4,Other Amount Paid,Amount paid for additional costs claimed in ‘Other Amount Claimed Submitted’ (48Ø-H9).
4,352,RSPPROFEE,Professional Service Fee - Response,"Field is not currently used. 

Note:  This field is no longer used.  This dollar amount now  displays in the RSPINCENTV field (#349). ",Contains only zeroes. ,S,9,2931,2939,9,2,562-J1,Professional Service Fee Paid,Amount representing the contractually agreed upon fee for professional services rendered. This amount is included in the ‘Total Amount Paid’ (5Ø9-F9).
4,353,RSPOTHPAYA,Other Payer Amount Recognized - Response,"The final dollar amount that the primary payer contributed toward this prescription when Prime is a secondary payer.  This is used for Coordination of Benefits.  

All COB-related fields display the same values, regardless of whether the fields are calculated, approved, client or response. 

Note:  This field displays a zero if the claim is submitted as a primary claim to Prime. ",,S,9,2940,2948,9,2,566-J5,Other Payer Amount Recognized,Total amount recognized by the processor of any payment from another source.
4,354,RSPACCUDED,Accumulated Deductible Amount - Response,The accumulated dollar amount of the member/family's deductible that was collected from the member during the benefit period. This amount was reported back to the pharmacy (response).  ,99999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it.,S,9,2949,2957,9,2,512-FC,Accumulated Deductible Amount,Amount in dollars met by the patient/family in a deductible plan.
4,355,RSPREMBFT,Remaining Benefit Amount - Response,"The dollar amount of the member's or family's maximum benefit that has not been used. If the claim applied to both the individual and the family maximum, then the individual value displays. This amount was reported back to the pharmacy (response). ",99999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it.,S,9,2958,2966,9,2,514-FE,Remaining Benefit Amount,Amount remaining in a patient/family plan with a periodic maximum benefit.
4,356,RSPREMDED,Remaining Deductible Amount - Response,"The dollar amount of the member's or family's deductible that has not been met. If the claim applied to both the individual and the family deductible, then the individual value displays. This amount was reported back to the pharmacy (response).",,S,9,2967,2975,9,2,513-FD,Remaining Deductible Amount,Amount not met by the patient/family in the deductible plan.
4,357,RSPPLANID,Plan ID - Response,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,8,2976,2983,0,0,,,
2,358,INDDEDPTD,Accumulated Individual Deductible Period to Date,The dollar amount that the member has paid toward the individual deductible for the current benefit period. This is the amount that has been accumulated toward the individual deductible as of the date of this claim. ,9999999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it,S,9,2984,2992,9,2,,,
2,359,INDDEDREM,Remaining Individual Deductible Amount,The dollar amount that the member has left to pay toward the individual's deductible amount as of this claim. ,,S,9,2993,3001,9,2,,,
2,360,FAMDEDPTD,Accumulated Family Deductible Period to Date,The dollar amount that the family has paid toward the family deductible for the current benefit period. This is the amount that has been accumulated toward the family deductible as of the date of this claim. ,9999999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it.,S,9,3002,3010,9,2,,,
2,361,FAMDEDREM,Remaining Family Deductible Amount,The dollar amount that the member has left to pay toward the family's deductible amount as of this claim. ,,S,9,3011,3019,9,2,,,
4,362,DEDSCHD,Deductible Schedule Code ,The code that identifies the deductible schedule used for the claim during claim processing. This field works with the Deductible Accumulation Code  specified in field DEDACCC (#363).,Values are Prime-defined and used in Prime's claim processing system. ,A,10,3020,3029,0,0,,,
2,363,DEDACCC,Deductible Accumulation  Code,"The code that is used with the deductible schedule, and ties all claims for a deductible together, either within a benefit plan or across benefit plans.  If a benefit plan has more than one deductible schedule, accumulation codes provide a way to separate the accumulations for each type of schedule.

Accumulation codes help determine the amounts that the member paid toward the deductible, out-of-pocket maximum, benefit maximum and lifetime benefit maximum.","The most frequently used values include:
BOTH
OON
PREVENTIVE
SPECIALTY
PASSTHRU
TOTAL
TOTALOON
PREFNET
COIN
COPAY",A,10,3030,3039,0,0,,,
2,364,DEDFLAG,Deductible Flag,The indication whether a deductible was applied during claim processing. ,"X = Deductible was applied
Blank = No deductible was applied",A,1,3040,3040,0,0,,,
2,365,INDLBFTUT,Individual Lifetime Benefit Maximum Amount Used,The dollar amount of the member's lifetime benefit maximum that the benefit plan paid for this claim.  ,,S,9,3041,3049,9,2,,,
2,366,INDLBFTPTD,Accumulated Individual Lifetime Benefit Maximum Amount,The dollar amount that the benefit plan has paid toward the individual's lifetime benefit maximum. This is the amount that has been accumulated toward the individual lifetime benefit maximum as of the date of this claim. ,9999999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it.,S,9,3050,3058,9,2,,,
2,367,INDLBFTREM,Remaining Individual Lifetime Benefit Maximum Amount,The dollar amount that the benefit plan has left to pay toward the individual's lifetime benefit maximum amount as of this claim. ,9999999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it.,S,9,3059,3067,9,2,,,
2,368,FAMLBFTUT,Family Lifetime Benefit Maximum Amount Used,The dollar amount of the family's lifetime benefit maximum that the benefit plan paid for this claim. ,,S,9,3068,3076,9,2,,,
2,369,FAMLBFTPTD,Accumulated Family Lifetime Benefit Maximum Amount,The dollar amount that the benefit plan has paid toward the family's lifetime benefit maximum. This is the amount that has been accumulated toward the family lifetime benefit maximum as of the date of this claim. ,9999999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it,S,9,3077,3085,9,2,,,
2,370,FAMLBFTREM,Remaining Family Lifetime Benefit Maximum Amount,The dollar amount that the benefit plan has left to pay toward the family's lifetime benefit maximum amount as of this claim.,,S,9,3086,3094,9,2,,,
4,371,LFTBFTMSCH,Lifetime Benefit Maximum Schedule Code ,The code that identifies the lifetime benefit maximum schedule used for the claim during claim processing. This field works with the Lifetime Benefit Maximum Accumulation Code  specified in field LFTBFTACCC (#372).,Values are Prime-defined and used in Prime's claim processing system. ,A,10,3095,3104,0,0,,,
2,372,LFTBFTACCC,Lifetime Benefit Maximum Accumulation Code,"The code that is used with the lifetime benefit maximum schedule, and ties all claims for a lifetime benefit maximum together, either within a benefit plan or across benefit plans.  If a benefit plan has more than one lifetime benefit maximum schedule, accumulation codes provide a way to separate the accumulations for each type of schedule.

Accumulation codes help determine the amounts that the member paid toward the deductible, out-of-pocket maximum, benefit maximum and lifetime benefit maximum.","The most frequently used values include:
BOTH
OON
PREVENTIVE
SPECIALTY
PASSTHRU",A,10,3105,3114,0,0,,,
2,373,LFTBFTFLAG,Lifetime Benefit Maximum Flag,The indication whether a dollar amount was applied toward a lifetime benefit maximum during claim processing.,"X = Dollar amount was applied to a lifetime benefit maximum
Blank = No dollar amount was applied to a lifetime benefit maximum",A,1,3115,3115,0,0,,,
2,374,INDBFTUT,Individual Benefit Maximum Amount Used,The dollar amount that the benefit plan has paid toward the individual benefit maximum for this claim. ,,S,9,3116,3124,9,2,,,
2,375,INDBMAXPTD,Accumulated Individual Benefit Maximum Amount,The dollar amount that the benefit plan has paid toward the individual benefit maximum for the current benefit period. This is the amount that has been accumulated toward the individual benefit maximum as of the date of this claim. ,99999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it,S,9,3125,3133,9,2,,,
2,376,FAMBFTUT,Family Benefit Maximum Amount Used,The dollar amount that the benefit plan has paid toward the family benefit maximum for this claim. ,,S,9,3134,3142,9,2,,,
2,377,FAMBMAXPTD,Accumulated Family Benefit Maximum Amount,The dollar amount that the benefit plan has paid toward the family benefit maximum for the current benefit period. This is the amount that has been accumulated toward the family  benefit maximum as of the date of this claim. ,99999.99 is a valid value. It indicates there is a limit to be reached and nothing has been applied to it,S,9,3143,3151,9,2,,,
